sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
7552171L00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,144.0,225.61538521844273,174.51919475645758,81.61538521844275,121.19388524753998,167.36032082189988,93.39192915040954,142,95,162,113,779,fit,True,167.36032082189988,mean_rolling_3m_wmape_percent,56.6773508461408,100_to_200,under_200
81860M79G10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,78.0,116.01637424688687,164.0317702177682,38.01637424688688,210.29714130483103,168.90954457986743,156.6412912585292,52,18,162,29,779,fit,True,168.90954457986743,mean_rolling_3m_wmape_percent,48.738941342162676,100_to_200,under_200
71711M53M00799,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,175.0,342.9311234472825,228.94902891948084,167.93112344728252,130.82801652541764,169.91656834842036,85.82639484191401,123,83,162,159,779,fit,True,169.91656834842036,mean_rolling_3m_wmape_percent,95.96064196987572,100_to_200,under_200
8383165J00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,84.0,164.1491125105752,145.72148859365132,80.1491125105752,173.47796261148966,170.8336708842167,147.61017083800118,129,63,162,84,779,fit,True,170.8336708842167,mean_rolling_3m_wmape_percent,95.41561013163714,100_to_200,under_200
58251M53M00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,125.0,237.20775483703855,155.37175619559792,112.20775483703858,124.29740495647833,171.38714370936813,123.61126015811189,150,92,162,136,779,fit,True,171.38714370936813,mean_rolling_3m_wmape_percent,89.76620386963086,100_to_200,under_200
11620M79F40000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,89.0,266.2456597334241,222.64973225695022,177.24565973342413,250.1682384909553,171.50915398566775,140.65808777915325,84,46,162,127,779,fit,True,171.50915398566775,mean_rolling_3m_wmape_percent,199.1524266667687,100_to_200,under_200
1793163J01000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,126.0,189.2221282602979,202.02884020861762,63.2221282602979,160.34034937191873,172.15921561775778,130.5060454933701,124,65,162,89,779,fit,True,172.15921561775778,mean_rolling_3m_wmape_percent,50.1762922700777,100_to_200,under_200
11610M79F30000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,37.0,126.81707495576109,116.72770320303846,89.81707495576109,315.48027892713094,172.3574238249547,164.86146671965236,73,29,162,41,779,fit,True,172.3574238249547,mean_rolling_3m_wmape_percent,242.74885123178674,100_to_200,under_200
2824178K00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,15.0,110.82607136941888,108.38644318447584,95.82607136941888,722.5762878965055,173.36768180018183,147.4608991074208,43,15,162,36,779,fit,True,173.36768180018183,mean_rolling_3m_wmape_percent,638.8404757961258,100_to_200,under_200
1770079P21000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,99.0,231.35623325027905,151.08526781120665,132.35623325027905,152.61138162748148,174.64449299662516,145.54056292111386,139,83,162,124,779,fit,True,174.64449299662516,mean_rolling_3m_wmape_percent,133.69316489927175,100_to_200,under_200
17700M67L00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,215.0,430.03440325582335,271.3862217540319,215.0344032558233,126.22614965303809,174.76574851717868,96.96881971536826,136,97,162,160,779,fit,True,174.76574851717868,mean_rolling_3m_wmape_percent,100.01600151433642,100_to_200,under_200
5823065J00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,186.0,286.9134939005801,205.53815706787708,100.91349390058006,110.50438552036402,174.77355682578076,97.61941941970899,149,98,162,155,779,fit,True,174.77355682578076,mean_rolling_3m_wmape_percent,54.25456661321509,100_to_200,under_200
84511M53M00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,162.0,281.7135843110673,187.67808443453822,119.71358431106735,115.85066940403594,175.35791377284278,94.93688402434243,139,91,162,162,779,fit,True,175.35791377284278,mean_rolling_3m_wmape_percent,73.89727426609096,100_to_200,under_200
37145M56R20000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,49.0,137.74067893107554,121.49447815494773,88.74067893107554,247.94791460193412,176.40929931584665,178.08389935080146,96,39,162,50,779,fit,True,176.40929931584665,mean_rolling_3m_wmape_percent,181.10342638995004,100_to_200,under_200
11620M65L10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,60.0,158.00660571011008,143.60472068650114,98.00660571011007,239.34120114416856,177.33928809713808,156.82753802526503,83,41,162,78,779,fit,True,177.33928809713808,mean_rolling_3m_wmape_percent,163.34434285018344,100_to_200,under_200
35321M66L10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,92.0,210.43544707391902,176.26609182864965,118.43544707391902,191.5935780746192,177.80683224524867,149.69903308716553,117,60,162,101,779,fit,True,177.80683224524867,mean_rolling_3m_wmape_percent,128.7341816020859,100_to_200,under_200
0940908327000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,1655.0,1925.6684028505074,2005.396495330101,270.6684028505072,121.17199367553481,179.21477930534553,117.25463945441948,136,99,162,162,779,fit,True,179.21477930534553,mean_rolling_3m_wmape_percent,16.35458627495512,100_to_200,under_200
83811M68P00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,138.0,271.3951603348502,192.91209046410262,133.39516033485017,139.79136990152364,179.49775499552504,118.63263377230237,140,82,162,134,779,fit,True,179.49775499552504,mean_rolling_3m_wmape_percent,96.6631596629349,100_to_200,under_200
72111M8450009E,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,61.0,161.47126126727056,148.96441307445218,100.47126126727059,244.20395585975768,179.5766744652448,160.94766712153987,97,36,162,71,779,fit,True,179.5766744652448,mean_rolling_3m_wmape_percent,164.70698568405012,100_to_200,under_200
37019M79MK0000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,100.0,191.27865533736158,165.0057886508864,91.27865533736161,165.0057886508864,181.07106460698273,132.24923358040536,109,61,162,101,779,fit,True,181.07106460698273,mean_rolling_3m_wmape_percent,91.27865533736161,100_to_200,under_200
5811077K00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,58.0,163.79483380222786,135.8106838312131,105.79483380222786,234.15635143312608,181.1443004531031,165.16266455572855,110,49,162,75,779,fit,True,181.1443004531031,mean_rolling_3m_wmape_percent,182.4048858659101,100_to_200,under_200
72111M8440009E,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,103.0,148.92329378998687,208.3549444000351,45.92329378998687,202.28635378644185,181.2976424416892,109.40554430839916,51,22,162,62,779,fit,True,181.2976424416892,mean_rolling_3m_wmape_percent,44.58572212620085,100_to_200,under_200
43110M75J80000-OP,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,40.0,153.28206020668557,142.84231205809,113.28206020668556,357.10578014522497,182.2983204990941,161.50707819236237,63,26,162,70,779,fit,True,182.2983204990941,mean_rolling_3m_wmape_percent,283.2051505167139,100_to_200,under_200
84701M84330000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,242.0,536.7326480888089,489.92034654445763,294.73264808880896,202.44642419192465,182.79072135809542,125.03762747720668,116,61,162,148,779,fit,True,182.79072135809542,mean_rolling_3m_wmape_percent,121.79035044992106,100_to_200,under_200
11610M65L00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,171.0,359.6587552874247,286.8472165408353,188.65875528742467,167.74691025779842,185.9507898002753,140.86281656102702,128,69,162,147,779,fit,True,185.9507898002753,mean_rolling_3m_wmape_percent,110.32675747802612,100_to_200,under_200
39321M56R00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,37.0,176.17775698502777,147.35076869050533,139.17775698502777,398.24532078514954,186.01497690827748,155.9628747686571,78,35,162,94,779,fit,True,186.01497690827748,mean_rolling_3m_wmape_percent,376.1560999595345,100_to_200,under_200
39322M56R00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,33.0,166.57081561370342,146.57203283160862,133.57081561370342,444.15767524729887,186.96184172193034,171.35410942673064,80,31,162,91,779,fit,True,186.96184172193034,mean_rolling_3m_wmape_percent,404.7600473142528,100_to_200,under_200
41710M68K00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,337.0,407.3132550720611,465.16290014771243,70.3132550720612,138.03053416846066,188.18161864526212,130.65900043007895,135,70,162,155,779,fit,True,188.18161864526212,mean_rolling_3m_wmape_percent,20.864467380433588,100_to_200,under_200
71741M66L005PK,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,158.0,299.84425060682486,214.71665237446882,141.84425060682486,135.896615426879,189.161197776245,147.06298001542453,142,85,162,148,779,fit,True,189.161197776245,mean_rolling_3m_wmape_percent,89.77484215621827,100_to_200,under_200
5730079P02000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,140.0,296.74401244989707,202.05632502460014,156.74401244989707,144.32594644614298,189.17948399322063,97.22331611965589,141,89,162,126,779,fit,True,189.17948399322063,mean_rolling_3m_wmape_percent,111.96000889278362,100_to_200,under_200
35671M79G40000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,85.0,228.03657707076493,172.44733147724202,143.0365770707649,202.87921350263764,190.14532865743467,147.06516619226002,112,61,162,122,779,fit,True,190.14532865743467,mean_rolling_3m_wmape_percent,168.27832596560577,100_to_200,under_200
95310M68K00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,167.0,348.34010323019925,242.22790724129626,181.3401032301993,145.0466510426924,190.2535169684864,104.77134372305059,142,91,162,155,779,fit,True,190.2535169684864,mean_rolling_3m_wmape_percent,108.586888161796,100_to_200,under_200
15910M79GC0000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,240.0,242.6279162759605,367.24599438022216,2.627916275960466,153.0191643250926,194.21098974124774,132.923255245441,117,52,162,108,779,fit,True,194.21098974124774,mean_rolling_3m_wmape_percent,1.0949651149835276,100_to_200,under_200
74120M79G00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,92.0,233.0521539573698,206.40892485211768,141.0521539573698,224.3575270131714,194.71853685717326,157.66549487565848,94,46,162,122,779,fit,True,194.71853685717326,mean_rolling_3m_wmape_percent,153.317558649315,100_to_200,under_200
17700M79F02000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,63.0,164.6889462775703,138.40803328106233,101.6889462775703,219.69529092232116,198.05973959311254,175.84701624852337,117,52,162,71,779,fit,True,198.05973959311254,mean_rolling_3m_wmape_percent,161.41102583741318,100_to_200,under_200
43250M68K2027N,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,184.0,309.9814670686966,225.7473114759445,125.98146706869656,122.68875623692637,198.274627069686,107.33111548537232,156,100,162,155,779,fit,True,198.274627069686,mean_rolling_3m_wmape_percent,68.46818862429161,100_to_200,under_200
84730M67P00000,direct_tweedie_glm,Direct Tweedie GLM,9,162,133.0,301.43950085882136,284.03722482307813,168.43950085882142,213.56182317524673,198.2879897183005,150.65660305219933,96,55,162,150,779,fit,True,198.2879897183005,mean_rolling_3m_wmape_percent,126.64624124723414,100_to_200,under_200
39322M67P10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,144.0,267.09860013443546,238.23743961712745,123.09860013443544,165.44266640078297,198.81738885811896,135.24201955061594,123,60,162,120,779,fit,True,198.81738885811896,mean_rolling_3m_wmape_percent,85.48513898224684,100_to_200,under_200
84702M68K1026U,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,140.0,323.00108431630593,231.99953473978104,183.00108431630593,165.7139533855579,201.37926426702617,151.2499696775475,138,82,162,139,779,fit,True,201.37926426702617,mean_rolling_3m_wmape_percent,130.7150602259328,over_200,over_200
39321M67P00000,direct_random_forest_log1p,Direct Random Forest log1p,9,162,123.0,291.45696862460534,208.5629652214241,168.45696862460528,169.5633863588814,202.87492437897626,163.83370199685143,148,88,162,154,779,fit,True,202.87492437897626,mean_rolling_3m_wmape_percent,136.9568850606547,over_200,over_200
73310M68P61GJL,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,127.0,290.93993085205585,229.25973960615062,163.93993085205585,180.51948000484302,204.41728715384113,179.5107088121529,129,64,162,132,779,fit,True,204.41728715384113,mean_rolling_3m_wmape_percent,129.0865597260282,over_200,over_200
57611M68K10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,132.0,304.7111212109131,229.41665186494924,172.71112121091312,173.80049383708274,205.50998126976071,142.3222269247387,136,91,162,137,779,fit,True,205.50998126976071,mean_rolling_3m_wmape_percent,130.841758493116,over_200,over_200
71711M79G105PK,direct_random_forest_log1p,Direct Random Forest log1p,9,162,172.0,379.98512519053196,249.16362778847054,207.98512519053196,144.8625742956224,207.8423440303787,136.7182180404414,151,102,162,160,779,fit,True,207.8423440303787,mean_rolling_3m_wmape_percent,120.92158441309996,over_200,over_200
83943M68P00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,15.0,123.04232999021417,112.45221088874185,108.04232999021418,749.6814059249457,209.2458132626662,188.402517125582,39,15,162,39,779,fit,True,209.2458132626662,mean_rolling_3m_wmape_percent,720.2821999347613,over_200,over_200
57300M68K10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,93.0,265.5973216878632,191.92206056659174,172.5973216878632,206.36780706085136,209.65747445770145,139.98235907078407,120,72,162,121,779,fit,True,209.65747445770145,mean_rolling_3m_wmape_percent,185.5885179439389,over_200,over_200
11620M68K00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,109.0,303.023779568727,231.09920147553817,194.02377956872698,212.01761603260383,211.37643822704135,124.2127515748584,124,76,162,119,779,fit,True,211.37643822704135,mean_rolling_3m_wmape_percent,178.00346749424492,over_200,over_200
83922M68P000CB,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,49.0,193.2335099279135,173.63282955682712,144.23350992791353,354.35271338127984,211.62198997419375,179.33871472594686,106,41,162,99,779,fit,True,211.62198997419375,mean_rolling_3m_wmape_percent,294.35410189370106,over_200,over_200
35153M59K20000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,278.0,299.51875024057307,354.0960350113172,21.518750240573077,127.3726744645026,212.21169056358525,99.74602440482776,125,76,162,150,779,fit,True,212.21169056358525,mean_rolling_3m_wmape_percent,7.740557640493912,over_200,over_200
73841M68P60C8J,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,143.0,376.90462732403336,253.65868166504708,233.90462732403336,177.38369347206088,212.50097844511643,163.08469709018493,144,91,162,155,779,fit,True,212.50097844511643,mean_rolling_3m_wmape_percent,163.569669457366,over_200,over_200
39322M67P00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,124.0,302.8514276713396,217.76986321291827,178.8514276713396,175.6208574297728,212.83859985013103,170.82899877984622,148,89,162,141,779,fit,True,212.83859985013103,mean_rolling_3m_wmape_percent,144.23502231559644,over_200,over_200
71711M53M005PK,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,183.0,412.01435725198735,291.9258729227704,229.0143572519874,159.52233493047564,216.99969004523103,146.29075944884852,128,88,162,160,779,fit,True,216.99969004523103,mean_rolling_3m_wmape_percent,125.14445751474723,over_200,over_200
71811M79G005PK,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,158.0,386.00613532202925,273.36727582448214,228.00613532202928,173.01726318005197,217.1019066134051,139.73664006482963,151,90,162,155,779,fit,True,217.1019066134051,mean_rolling_3m_wmape_percent,144.30768058356284,over_200,over_200
11710M68K00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,185.0,386.54432489380906,316.2956616360006,201.54432489380906,170.97062791135167,222.59423586870932,163.744732994095,137,89,162,140,779,fit,True,222.59423586870932,mean_rolling_3m_wmape_percent,108.94287832097787,over_200,over_200
84702M67P30000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,121.0,229.22901455072474,240.90489823789093,108.2290145507247,199.09495722139746,234.61540131778938,197.51938023033654,107,48,162,118,779,fit,True,234.61540131778938,mean_rolling_3m_wmape_percent,89.44546657084686,over_200,over_200
11710M79F80000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,80.0,273.39567693182266,216.40087949164737,193.39567693182272,270.5010993645592,247.93900587921456,188.7442297057885,105,58,162,124,779,fit,True,247.93900587921456,mean_rolling_3m_wmape_percent,241.7445961647784,over_200,over_200
84701M68K1026U,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,165.0,355.3965005313704,279.3650958846807,190.3965005313704,169.31217932404894,261.433068278135,116.02551130060083,130,77,162,147,779,fit,True,261.433068278135,mean_rolling_3m_wmape_percent,115.39181850386085,over_200,over_200
