candidate_id,architecture,training_scope
occasional_pool__tsb_a0.20_b0.05__w24__classical__s1.50,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.05__w24__classical__s1.75,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.05__w24__classical__s2.00,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.10__w24__classical__s0.75,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.10__w24__classical__s1.00,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.10__w24__classical__s1.25,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.10__w24__classical__s1.50,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.10__w24__classical__s1.75,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.10__w24__classical__s2.00,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.20__w24__classical__s0.75,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.20__w24__classical__s1.00,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.20__w24__classical__s1.25,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.20__w24__classical__s1.50,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.20__w24__classical__s1.75,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.20__w24__classical__s2.00,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.40__w24__classical__s0.75,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.40__w24__classical__s1.00,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.40__w24__classical__s1.25,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.40__w24__classical__s1.50,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.40__w24__classical__s1.75,classical,occasional_pool
occasional_pool__tsb_a0.20_b0.40__w24__classical__s2.00,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.05__w24__classical__s0.75,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.05__w24__classical__s1.00,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.05__w24__classical__s1.25,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.05__w24__classical__s1.50,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.05__w24__classical__s1.75,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.05__w24__classical__s2.00,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.10__w24__classical__s0.75,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.10__w24__classical__s1.00,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.10__w24__classical__s1.25,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.10__w24__classical__s1.50,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.10__w24__classical__s1.75,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.10__w24__classical__s2.00,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.20__w24__classical__s0.75,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.20__w24__classical__s1.00,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.20__w24__classical__s1.25,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.20__w24__classical__s1.50,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.20__w24__classical__s1.75,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.20__w24__classical__s2.00,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.40__w24__classical__s0.75,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.40__w24__classical__s1.00,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.40__w24__classical__s1.25,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.40__w24__classical__s1.50,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.40__w24__classical__s1.75,classical,occasional_pool
occasional_pool__tsb_a0.40_b0.40__w24__classical__s2.00,classical,occasional_pool
occasional_pool__recent_3__w24__classical__s0.75,classical,occasional_pool
occasional_pool__recent_3__w24__classical__s1.00,classical,occasional_pool
occasional_pool__recent_3__w24__classical__s1.25,classical,occasional_pool
occasional_pool__recent_3__w24__classical__s1.50,classical,occasional_pool
occasional_pool__recent_3__w24__classical__s1.75,classical,occasional_pool
occasional_pool__recent_3__w24__classical__s2.00,classical,occasional_pool
occasional_pool__recent_6__w24__classical__s0.75,classical,occasional_pool
occasional_pool__recent_6__w24__classical__s1.00,classical,occasional_pool
occasional_pool__recent_6__w24__classical__s1.25,classical,occasional_pool
occasional_pool__recent_6__w24__classical__s1.50,classical,occasional_pool
occasional_pool__recent_6__w24__classical__s1.75,classical,occasional_pool
occasional_pool__recent_6__w24__classical__s2.00,classical,occasional_pool
occasional_pool__recent_9__w24__classical__s0.75,classical,occasional_pool
occasional_pool__recent_9__w24__classical__s1.00,classical,occasional_pool
occasional_pool__recent_9__w24__classical__s1.25,classical,occasional_pool
occasional_pool__recent_9__w24__classical__s1.50,classical,occasional_pool
occasional_pool__recent_9__w24__classical__s1.75,classical,occasional_pool
occasional_pool__recent_9__w24__classical__s2.00,classical,occasional_pool
occasional_pool__recent_12__w24__classical__s0.75,classical,occasional_pool
occasional_pool__recent_12__w24__classical__s1.00,classical,occasional_pool
occasional_pool__recent_12__w24__classical__s1.25,classical,occasional_pool
occasional_pool__recent_12__w24__classical__s1.50,classical,occasional_pool
occasional_pool__recent_12__w24__classical__s1.75,classical,occasional_pool
occasional_pool__recent_12__w24__classical__s2.00,classical,occasional_pool
occasional_pool__recent_18__w24__classical__s0.75,classical,occasional_pool
occasional_pool__recent_18__w24__classical__s1.00,classical,occasional_pool
occasional_pool__recent_18__w24__classical__s1.25,classical,occasional_pool
occasional_pool__recent_18__w24__classical__s1.50,classical,occasional_pool
occasional_pool__recent_18__w24__classical__s1.75,classical,occasional_pool
occasional_pool__recent_18__w24__classical__s2.00,classical,occasional_pool
